Plant,Unit,Bearing,Type,Base Value,Middle Value,Max Value,Coefficient A,Coefficient B,Coefficient C,,
BBGS,Unit 1,1,Drain Temp,52,70,75,0.0001,0.37,-18.5104,75,9.8021
BBGS,Unit 1,2,Drain Temp,52,70,75,0.0001,0.37,-18.5104,49,1
BBGS,Unit 1,3,Drain Temp,52,70,75,0.0001,0.37,-18.5104,50,1
BBGS,Unit 1,4,Drain Temp,52,70,75,0.0001,0.37,-18.5104,51,1
BBGS,Unit 1,5,Drain Temp,52,70,75,0.0001,0.37,-18.5104,52,1
BBGS,Unit 1,6,Drain Temp,52,70,75,0.0001,0.37,-18.5104,53,1.3805
BBGS,Unit 1,7,Drain Temp,52,70,75,0.0001,0.37,-18.5104,54,1.7612
BBGS,Unit 1,8,Drain Temp,52,70,75,0.0001,0.37,-18.5104,55,2.1421
BBGS,Unit 1,9,Drain Temp,52,70,75,0.0001,0.37,-18.5104,56,2.5232
BBGS,Unit 1,1,Metal Temp,75,90,100,0.0001,0.34,-25.0625,56,1
BBGS,Unit 1,2,Metal Temp,75,90,100,0.0001,0.34,-25.0625,56,1
BBGS,Unit 1,3,Metal Temp,75,90,100,0.0001,0.34,-25.0625,56,1
BBGS,Unit 1,4,Metal Temp,75,90,100,0.0001,0.34,-25.0625,56,1
BBGS,Unit 1,5,Metal Temp,75,90,100,0.0001,0.34,-25.0625,56,1
BBGS,Unit 1,6,Metal Temp,75,90,100,0.0001,0.34,-25.0625,56,1
BBGS,Unit 1,7,Metal Temp,75,90,100,0.0001,0.34,-25.0625,56,1
BBGS,Unit 1,8,Metal Temp,75,90,100,0.0001,0.34,-25.0625,56,1
BBGS,Unit 1,9,Metal Temp,75,90,100,0.0001,0.34,-25.0625,56,1
BBGS,Unit 1,1,Vibration X,60,90,135,0.0001,0.1,-5.36,56,1
BBGS,Unit 1,2,Vibration X,60,90,135,0.0001,0.1,-5.36,56,1
BBGS,Unit 1,3,Vibration X,60,90,135,0.0001,0.1,-5.36,56,1
BBGS,Unit 1,4,Vibration X,60,90,135,0.0001,0.1,-5.36,56,1
BBGS,Unit 1,5,Vibration X,90,120,150,0.0001,0.12,-10.61,56,1
BBGS,Unit 1,6,Vibration X,90,120,150,0.0001,0.12,-10.61,56,1
BBGS,Unit 1,7,Vibration X,90,120,150,0.0001,0.12,-10.61,56,1
BBGS,Unit 1,8,Vibration X,90,120,150,0.0001,0.12,-10.61,56,1
BBGS,Unit 1,9,Vibration X,90,120,150,0.0001,0.12,-10.61,56,1
BBGS,Unit 1,1,Vibration Y,60,90,135,0.0001,0.1,-5.36,56,1
BBGS,Unit 1,2,Vibration Y,60,90,135,0.0001,0.1,-5.36,56,1
BBGS,Unit 1,3,Vibration Y,60,90,135,0.0001,0.1,-5.36,56,1
BBGS,Unit 1,4,Vibration Y,60,90,135,0.0001,0.1,-5.36,56,1
BBGS,Unit 1,5,Vibration Y,90,120,150,0.0001,0.12,-10.61,56,1
